game_id,at_bat_index,event_type,batter_id,pitcher_id,event_description,coord_x,coord_y,savant_url
42140,32,force_out,547001,605200,"Cody Poteet grounds into a force out, fielded by shortstop Javier Baez. Jon Berti out at 2nd.",,,https://baseballsavant.mlb.com/savant-player/547001?stats=statcast-r-hitting-mlb&season=2042
21760,32,force_out,547001,605200,"Cody Poteet grounds into a force out, fielded by shortstop Javier Baez. Jon Berti out at 2nd.",,,https://baseballsavant.mlb.com/savant-player/547001?stats=statcast-r-hitting-mlb&season=2021
33259,5,force_out,665161,663776,"Jeremy Pena grounds into a force out, second baseman Brandon Drury to shortstop Livan Soto. Mauricio Dubon out at 2nd. Jeremy Pena to 1st.",,,https://baseballsavant.mlb.com/savant-player/665161?stats=statcast-r-hitting-mlb&season=2033
36203,16,field_out,543510,650893,James McCann out to catcher Danny Jansen. James McCann out on batter interference.,,,https://baseballsavant.mlb.com/savant-player/543510?stats=statcast-r-hitting-mlb&season=2036
42226,25,force_out,575929,621111,"Willson Contreras grounds into a force out, third baseman Chris Taylor to second baseman Max Muncy. Anthony Rizzo out at 2nd. Willson Contreras to 1st.",,,https://baseballsavant.mlb.com/savant-player/575929?stats=statcast-r-hitting-mlb&season=2042
21846,25,force_out,575929,621111,"Willson Contreras grounds into a force out, third baseman Chris Taylor to second baseman Max Muncy. Anthony Rizzo out at 2nd. Willson Contreras to 1st.",,,https://baseballsavant.mlb.com/savant-player/575929?stats=statcast-r-hitting-mlb&season=2021
30396,57,sac_bunt,670032,605154,"Nicky Lopez out on a sacrifice bunt, pitcher John Brebbia to second baseman Thairo Estrada. Andrew Benintendi to 3rd.",,,https://baseballsavant.mlb.com/savant-player/670032?stats=statcast-r-hitting-mlb&season=2030
33331,49,field_out,553882,543859,Omar Narvaez lines out sharply to center fielder Michael Harris II.,,,https://baseballsavant.mlb.com/savant-player/553882?stats=statcast-r-hitting-mlb&season=2033
30433,40,field_out,608336,666201,Joey Gallo flies out to center fielder George Springer. Gleyber Torres to 3rd.,,,https://baseballsavant.mlb.com/savant-player/608336?stats=statcast-r-hitting-mlb&season=2030
33376,23,force_out,670223,663941,"Matt Mervis grounds into a force out, second baseman Thairo Estrada to shortstop Casey Schmitt. Dansby Swanson to 3rd. Yan Gomes out at 2nd. Matt Mervis to 1st.",,,https://baseballsavant.mlb.com/savant-player/670223?stats=statcast-r-hitting-mlb&season=2033
30491,16,single,605244,542881,Aramis Garcia singles on a sharp ground ball to shortstop Trea Turner. Donovan Solano scores. Albert Almora Jr. to 3rd. Aramis Garcia to 2nd. Throwing error by shortstop Trea Turner.,,,https://baseballsavant.mlb.com/savant-player/605244?stats=statcast-r-hitting-mlb&season=2030
42354,27,sac_fly,592669,608344,Hunter Renfroe out on a sacrifice fly to center fielder Ramon Laureano. Rafael Devers scores.,,,https://baseballsavant.mlb.com/savant-player/592669?stats=statcast-r-hitting-mlb&season=2042
21974,27,sac_fly,592669,608344,Hunter Renfroe out on a sacrifice fly to center fielder Ramon Laureano. Rafael Devers scores.,,,https://baseballsavant.mlb.com/savant-player/592669?stats=statcast-r-hitting-mlb&season=2021
21985,22,field_out,657757,666159,"Gavin Sheets grounds out, second baseman Harold Castro to first baseman Jonathan Schoop. Tim Anderson to 2nd.",,,https://baseballsavant.mlb.com/savant-player/657757?stats=statcast-r-hitting-mlb&season=2021
42365,22,field_out,657757,666159,"Gavin Sheets grounds out, second baseman Harold Castro to first baseman Jonathan Schoop. Tim Anderson to 2nd.",,,https://baseballsavant.mlb.com/savant-player/657757?stats=statcast-r-hitting-mlb&season=2042
30575,38,double,592273,624522,Brandon Drury doubles (14) on a soft line drive to right fielder Rafael Ortega. Jonathan India scores.,,,https://baseballsavant.mlb.com/savant-player/592273?stats=statcast-r-hitting-mlb&season=2030
33522,55,field_out,622534,621139,Manuel Margot grounds out softly to first baseman Nick Pratto. Vidal Brujan to 2nd.,,,https://baseballsavant.mlb.com/savant-player/622534?stats=statcast-r-hitting-mlb&season=2033
42480,50,field_out,607208,663978,"Trea Turner grounds out, catcher Victor Caratini to first baseman Eric Hosmer.",,,https://baseballsavant.mlb.com/savant-player/607208?stats=statcast-r-hitting-mlb&season=2042
22100,50,field_out,607208,663978,"Trea Turner grounds out, catcher Victor Caratini to first baseman Eric Hosmer.",,,https://baseballsavant.mlb.com/savant-player/607208?stats=statcast-r-hitting-mlb&season=2022
33551,68,field_out,643565,669467,Mike Tauchman lines out to left fielder Brendan Donovan.,,,https://baseballsavant.mlb.com/savant-player/643565?stats=statcast-r-hitting-mlb&season=2033
22154,39,field_out,600869,502043,"Jeimer Candelario grounds out sharply, shortstop Isiah Kiner-Falefa to first baseman Nate Lowe.",,,https://baseballsavant.mlb.com/savant-player/600869?stats=statcast-r-hitting-mlb&season=2022
42534,39,field_out,600869,502043,"Jeimer Candelario grounds out sharply, shortstop Isiah Kiner-Falefa to first baseman Nate Lowe.",,,https://baseballsavant.mlb.com/savant-player/600869?stats=statcast-r-hitting-mlb&season=2042
22161,37,force_out,572039,660761,"Stephen Piscotty grounds into a force out, shortstop Jose Iglesias to second baseman David Fletcher. Sean Murphy out at 2nd.",,,https://baseballsavant.mlb.com/savant-player/572039?stats=statcast-r-hitting-mlb&season=2022
42541,37,force_out,572039,660761,"Stephen Piscotty grounds into a force out, shortstop Jose Iglesias to second baseman David Fletcher. Sean Murphy out at 2nd.",,,https://baseballsavant.mlb.com/savant-player/572039?stats=statcast-r-hitting-mlb&season=2042
